"Item Name
",,"Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
"Ben n Jerry's Pint, Everything But the...",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Sweet Like Sugar Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Wake & Bake",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Slice Tonight Dough,,CASE (24  1 Each),1,1,31.14,31.14
Breyers Chocolate,,CASE (6 Each),1,1,34.76,34.76
Breyers Vanilla,,CASE (6 Each),1,1,34.76,34.76
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
"Talenti Gelato, Roman Rasberry",,Case (8  1 Each),1,1,34.32,34.32
TALENTI layers CHOC CHER,,Case (8  1 Each),1,1,40.16,40.16
,,,,,,
,,,,,,
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, Orange 340mL",,CASE (12  1 Each),1,1,14.88,14.88
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, Cherry Garcia",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Cherry Garcia Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Fudge Brownie Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Therapy",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chunky Monkey",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cookie Dough/Chocolate",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Milk n Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Peanut Butter Cup",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Vanilla",,Case (8  1 Each),1,1,31.60,31.60
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
F'REAL Cake Batter,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Chocolate,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Mint Chip,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Reeses PB Cup,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Smoothies Mango,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Smoothies Strawberry Banana,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Vanilla,,CASE (12  1 Each),1,1,20.04,20.04
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
"Talenti Gelato, Caramel Choc Crunch",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Caribbean Coconut",,Case (8  1 Each),1,1,34.32,34.32
TALENTI layers CHOC CHER,,Case (8  1 Each),1,1,40.16,40.16
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,CASE (6  1 Each),2,2,18.40,36.80
"Odwalla, Mango Tango",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Mo' Beta",,CASE (6  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Strawberry C Monster",,CASE (6  1 Each),2,2,18.40,36.80
"Odwalla, Superfood",,Case (8  1 Each),2,2,18.40,36.80
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),3,3,16.80,50.40
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, Coffee Caramel Fudge",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Cinnamon Bun",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core Choc Chip Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Peanut Butter Fudge",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Everything But the...",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Milk n Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Wake & Bake",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Sliced Cookie Dough (sandwich),,CASE (24  1 Each),1,1,33.30,33.30
Breyers Vanilla,,CASE (6 Each),1,1,34.76,34.76
Evol Butternut Squash,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),3,3,16.80,50.40
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, PButter Half Baked",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Cherry Garcia Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chunky Monkey",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Coffee Heath Bar",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cold Brew Carm",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Strawberry Cheesecake",,Case (8  1 Each),1,1,31.60,31.60
Evol SSRV Fire Grill Steak,,Case (8  1 Each),2,2,31.68,63.36
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
"Talenti Gelato, Caramel Choc Crunch",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Roman Rasberry",,Case (8  1 Each),1,1,34.32,34.32
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),3,3,18.40,55.20
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),3,3,18.40,55.20
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),4,1,16.80,16.80
"Simply, 52z Lemonade",,CASE (6  1 Each),,3,,0.00
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),6,5,16.80,84.00
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),,1,,0.00
"Simply, Lemonade 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),3,3,14.88,44.64
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, Coffee Caramel Fudge",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chunky Monkey",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cold Brew Carm",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cookie Dough/Chocolate",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Slice Tonight Dough,,CASE (24  1 Each),1,1,31.14,31.14
CPK 12 thin c bbq chicken,,CASE (12 2 Fl Ozs),1,1,72.80,72.80
CPK 12 thin c signature pepp,,CASE (12 2 Fl Ozs),1,1,72.80,72.80
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
F'REAL Cake Batter,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Chocolate,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Cookie Cream,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Mint Chip,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Reeses PB Cup,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Smoothies Mango,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Smoothies Strawberry Banana,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Vanilla,,CASE (12  1 Each),1,1,20.04,20.04
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),3,3,18.40,55.20
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),3,3,18.40,55.20
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),2,2,18.40,36.80
"Simply, 52z Lemonade",,CASE (6  1 Each),5,5,16.80,84.00
"Simply, 52z Orange Juice",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, Lemonade 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, Coco 7Lyr Bar",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Cinnamon Bun",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core Choc Chip Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Peanut Butter Fudge",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Everything But the...",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, L/E Justice Remix'd",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Milk n Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Peanut Butter Cup",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Seasonal Pumpkin Cheesecake",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Vanilla",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Snack Vegan CC Cookie Dough,,CASE (12  1 Each),1,1,38.64,38.64
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),2,2,31.68,63.36
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
Magnum Pint Salted Caramel,,CASE (6  1 Each),1,1,29.28,29.28
Magnum Pint White Choc Van,,CASE (12  1 Each),1,1,29.28,29.28
"Talenti Gelato, Caramel Choc Crunch",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Double Dark Chocolate",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Roman Rasberry",,Case (8  1 Each),1,1,34.32,34.32
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Mango Tango",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),5,5,16.80,84.00
"Simply, Lemonade 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
,,,,,,
,,,,,,
"Ben n Jerry's Pint, Boom Chocolatta",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Therapy",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Coffee Heath Bar",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Milk n Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Oat of this Swi",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Pistachio Pistachio",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Wake & Bake",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Sliced Cookie Dough (sandwich),,CASE (24  1 Each),1,1,33.30,33.30
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
F'REAL Chocolate,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Cookie Cream,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Mint Chip,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Reeses PB Cup,,CASE (12  1 Each),1,1,20.04,20.04
,,,,,,
,,,,,,
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
,,,,,,
,,,,,,
Ben n Jerry's Snack Vegan CC Cookie Dough,,CASE (12  1 Each),1,1,38.64,38.64
CPK 12 thin c bbq chicken,,CASE (12 2 Fl Ozs),1,1,72.80,72.80
Evol Butternut Squash,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
King chocolate vanilla cone,,CASE (24  1 Each),1,1,22.44,22.44
Magnum Pint Salted Caramel,,CASE (6  1 Each),1,1,29.28,29.28
Magnum Pint White Choc Van,,CASE (12  1 Each),1,1,29.28,29.28
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Orange with Mango",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, Lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, Coco 7Lyr Bar",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Cherry Garcia Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Therapy",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cold Brew Carm",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core Choc Chip Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Everything But the...",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Karmel Sutra",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Oat of this Swi",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Seasonal Pumpkin Cheesecake",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Snack Vegan CC Cookie Dough,,CASE (12  1 Each),1,1,38.64,38.64
CPK 12 thin c signature pepp,,CASE (12 2 Fl Ozs),1,1,72.80,72.80
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),2,2,31.68,63.36
F'REAL Cake Batter,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Chocolate,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Cookie Cream,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Mint Chip,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Reeses PB Cup,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Vanilla,,CASE (12  1 Each),1,1,20.04,20.04
Magnum Pint Salted Caramel,,CASE (6  1 Each),1,1,29.28,29.28
,,,,,,
,,,,,,
"Talenti Gelato, Caramel Choc Crunch",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Choc PB Cup",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Roman Rasberry",,Case (8  1 Each),1,1,34.32,34.32
TALENTI layers CHOC CHER,,Case (8  1 Each),1,1,40.16,40.16
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Strawberry Banana",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),2,2,18.40,36.80
"Simply, 52z Lemonade",,CASE (6  1 Each),3,3,16.80,50.40
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Orange with Mango",,CASE (6  1 Each),1,1,22.62,22.62
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),3,3,16.80,50.40
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, PButter Half Baked",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chunky Monkey",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cookie Dough/Chocolate",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core Choc Chip Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Peanut Butter Fudge",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),2,2,31.60,63.20
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),2,2,31.60,63.20
"Ben n Jerry's Pint, L/E Justice Remix'd",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Peanut Butter Cup",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Strawberry Cheesecake",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Wake & Bake",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Slice Tonight Dough,,CASE (24  1 Each),1,1,31.14,31.14
Ben n Jerry's Sliced Cookie Dough Pt,,CASE (24  1 Each),1,1,33.30,33.30
Ben n Jerry's Snack Vegan CC Cookie Dough,,CASE (12  1 Each),1,1,38.64,38.64
Breyers Vanilla,,CASE (6 Each),1,1,34.76,34.76
Evol Butternut Squash,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),2,2,31.68,63.36
Haagen-dazs Van Carm,,CASE (12  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Green Tea",,Case (8  1 Each),1,1,33.28,33.28
"HAAGEN-DAZS, 14oz Vanilla",,Case (8  1 Each),1,1,33.28,33.28
Magnum Pint White Choc Van,,CASE (12  1 Each),1,1,29.28,29.28
"Talenti Gelato, Caramel Choc Crunch",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Choc PB Cup",,Case (8  1 Each),1,1,34.32,34.32
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
